objectid,title,date,format,arastirmaci,eser_adi,sayfa_no,padisah_donemi,muellif_adi,muellif_olum_tarihi,mustensih_adi,telif_tarih_hicri,telif_basim,telif_tarih_miladi,istinsah_tarihi,eser_dili,eser_alt_turu,yazin_turu,yazi_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_tarihi,baglantili_eser_dili,cilt_sayisi,yazildigi_yer,istinsah_yeri,kutupane_koleksiyon,alt_koleksiyon_numara,su_anda_kutupane,latitude,longitude,ulke,sehir,takdim_hediye,tarihsel_kapsam,tematik_kapsam,notlar,arastirmaci_notu,,
babinger_0457,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Berlin Devlet Kütüphanesi,Nu. 9742,,52.507756,13.37086122,Almanya,Berlin,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0458,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Gotha Kütüphanesi,Nu. 1616,,50.94788471,10.70937885,Almanya,Gotha,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0459,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Viyana Milli Kütüphanesi,Nu.977,,48.20638245,16.36692749,Avusturya,Viyana,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0460,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Petersburg Asya Müzesi,Nu.182,,59.94421678,30.32190096,Rusya,St. Petersburg,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0461,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Paris Milli Kütüphanesi,Nu. 1644/1650,,48.83393323,2.375792984,Fransa,Paris,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0462,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,British Museum,Nu. 1646; suppl. 588,,51.51953386,-0.1269388205,İngiltere,Londra,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0463,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Oxford Bodleian Library,Nu. 839,,51.75437187,-1.254042,İngiltere,Oxford,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0464,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Kopenhag,Nu. 140,,55.6735083,12.5826588,Danimarka,Kopenhag,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0465,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Escurial,Nu.1715/16,,40.44565653,-3.734418946,İspanya,Madrid,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0466,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Nuruosmaniye Kütüphanesi,Nu.3085,Nuruosmaniye,41.01025877,28.97066319,Türkiye,İstanbul,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0467,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,,,,,,,,,Köprülü Mehmed Paşa,Nu.1013/14,Köprülü,41.00824749,28.97252736,Türkiye,İstanbul,Sadrazâm Sinan Paşa,945- 978 (1538-1570),"Yemen’in Osmanlılar tarafından fethini kendi gördükleri üzerinden anlatır. 4 kısımdan oluşmaktadır:Vezir Süleyman Paşa zamanındaki birinci fetihle başlar, Zeydilerin dönüşünü tasvir eder, ardından Sadrazam Sinan Paşa tarafından ikinci defa anlatılır. Sadrazam'ın Tunus ve Goletta seferlerinden de bahseder.",,,,
babinger_0468,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,Çeviri,,Hüsrevzâde Mustafa Efendi,987 (1579),Osmanlı Türkçesi,,,,Paris Milli Kütüphanesi,c.r. 142,,48.83393323,2.375792984,Fransa,Paris,,945- 978 (1538-1570),"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye'nin Türkçe tercümesidir. Osmanlı'nın Yemeni fethi anlatılmaktadır.",,,,
babinger_0469,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",03.03.1573,record,Aleyna Karakaya,"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye",100-101,,Kutbeddîn,1582,,981,,1573,,Arapça,,,,Çeviri,,Hüsrevzâde Mustafa Efendi,987 (1579),Osmanlı Türkçesi,,,,Hamidiyye Kütüphanesi,Nu.921,Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,945- 978 (1538-1570),"el-Berku’l-Yemânî fi’l-fethi’l-‘Osmânî veya
el-Fütûhâtü’l-‘Osmâniyye li’l-aktâri’l-Yemâniyye'nin Türkçe tercümesidir. Osmanlı'nın Yemeni fethi anlatılmaktadır.",,,,
babinger_0470,Yemen Tarihi,1570,record,Aleyna Karakaya,Yemen Tarihi,101,,Ahmed,,,977,,1570,,,,Manzum,,,,,,,,,,,,,,,,,,,Sinan Paşa'nın Yemen'i fethini terennüm etmiştir.,,,,
babinger_0471,Yemen Tarihi,,record,Aleyna Karakaya,Yemen Tarihi,102,,Mustafâ (Rumûzî),1582,,,,,,,,Manzum,,,,,,,,,,,,,,,Türkiye,İstanbul,,,"Sinan Paşa'nın Yemen'i fethini terennüm etmiştir. İki kısma ayrılır: I. Yemen'in eski tarihi, II. Osmanlılar tarafından fethi",,,,
babinger_0472,Fethiyye-i Yemen (Fethnâme-i Yemen),1574,record,Aleyna Karakaya,Fethiyye-i Yemen (Fethnâme-i Yemen),102-103,,Nihâlî,,,982,,1574,,,,Manzum,,,,,,,,,,Viyana Milli Kütüphanesi,Nu. 684,,48.20638245,16.36692749,Avusturya,Viyana,,974-982,Yemen Valisi Behrâm Paşa'nın yaptıklarını tasvir eder. Kendi şahit olduklarını anlatmaktadır.,Müellif hakkında kesin bilgilere ulaşılamasa da eserde geçen bazı ifadelere göre müellifimizin Anadolu sahasında yetişmiş ve daha sonra uzun yıllar Yemen’de bulunmuş Türklük bilinci olan bir asker olduğunu söyleyebiliriz,,,
babinger_0473,Tahkîku’l-ferah ve’l-emân ve’l-ferec li-ehli’l-îmân bi-devleti’s-Sultân Selîm b. Süleymân,,record,Aleyna Karakaya,Tahkîku’l-ferah ve’l-emân ve’l-ferec li-ehli’l-îmân bi-devleti’s-Sultân Selîm b. Süleymân,103,,Nureddîn Alî,,,,,,,Arapça,,,,,,,,,,,,,,,,,,,,II. Selim dönemi,II. Selim dönemi 4 bab olarak yazılmıştır.,,,,
babinger_0474,Süleymannâme,,record,Aleyna Karakaya,Süleymannâme,104,,Abdurrahmân b. Abdullâh (Gubârî),1566,,,,,,Farsça,,,,,,,,,,,,Manisa Muradiye Camii Kütüphanesi,,Manisa Yazma Eser,38.61562547,27.43532474,Türkiye,Manisa,,Kanuni Sultan Süleyman dönemi,Kanuni Sultan Süleyman döneminde geçen olaylar anlatılmıştır.,,,,
babinger_0475,Mesâhatnâme,,record,Aleyna Karakaya,Mesâhatnâme,104,,Abdurrahmân b. Abdullâh (Gubârî),1566,,,,,,,,Manzum,,,,,,,,,,Ayasofya,,Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,Kâbe'nin büyüklüğü ve şerefi tasvir edilmiştir.,,,,
babinger_0476,Kâ‘benâme,,record,Aleyna Karakaya,Kâ‘benâme,104,,Abdurrahmân b. Abdullâh (Gubârî),1566,,,,,,,,Manzum,,,,,,,,,,Manisa Çeşnigir Kütüphanesi,,Manisa Yazma Eser,38.61562547,27.43532474,Türkiye,Manisa,,,Kâbe'nin büyüklüğü ve şerefi tasvir edilmiştir.,,,,
babinger_0477,Zübdetü’t-Tevârîh,,record,Aleyna Karakaya,Zübdetü’t-Tevârîh,104-105,,Dülgerzâde ( Dülekzâde) Mehmed b. Alî,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,18 bablık bir tarih kitabı,,,,
babinger_0478,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,,,,,,,,,Paris Milli Kütüphanesi,suppl. 169,,48.83393323,2.375792984,Fransa,Paris,,,"10 bablık bir dünya tarihi. Son babında Kanuni Sultan Süleyman'ın ölümüne kadar bir Osmanlı tarihi ve her devirde ölmüş olan devlet adamları, bilgin ve yazarların bir listesi bulunmaktadır.",,,,
babinger_0479,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,,,,,,,,,British Museum,Add. 7650,,51.51953386,-0.1269388205,İngiltere,Londra,,,"10 bablık bir dünya tarihi. Son babında Kanuni Sultan Süleyman'ın ölümüne kadar bir Osmanlı tarihi ve her devirde ölmüş olan devlet adamları, bilgin ve yazarların bir listesi bulunmaktadır.",,,,
babinger_0480,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,,,,,,,,,Petersburg Umumi Kütüphanesi,,,59.933403,30.33521028,Rusya,St. Petersburg,,,"10 bablık bir dünya tarihi. Son babında Kanuni Sultan Süleyman'ın ölümüne kadar bir Osmanlı tarihi ve her devirde ölmüş olan devlet adamları, bilgin ve yazarların bir listesi bulunmaktadır.",,,,
babinger_0481,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,,,,,,,,,Petersburg Asya Müzesi,,,59.94421678,30.32190096,Rusya,St. Petersburg,,,"10 bablık bir dünya tarihi. Son babında Kanuni Sultan Süleyman'ın ölümüne kadar bir Osmanlı tarihi ve her devirde ölmüş olan devlet adamları, bilgin ve yazarların bir listesi bulunmaktadır.",,,,
babinger_0482,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,,,,,,,,,Ayasofya,Nr. 2085,Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,"10 bablık bir dünya tarihi. Son babında Kanuni Sultan Süleyman'ın ölümüne kadar bir Osmanlı tarihi ve her devirde ölmüş olan devlet adamları, bilgin ve yazarların bir listesi bulunmaktadır.",,,,
babinger_0483,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Muhtasar,,,,,,,,Viyana Milli Kütüphanesi,Nu. 838,,48.20638245,16.36692749,Avusturya,Viyana,,,Dünya tarihine ait bir muhtasar,"Müellif kısaltmış olabilir, belli değil.",,,
babinger_0484,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Viyana Milli Kütüphanesi,Nu.845,,48.20638245,16.36692749,Avusturya,Viyana,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0485,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Manchester Üniversite Kütüphanesi,"Lindsay kolleksiyonu, Nu. 74",,53.46457605,-2.235326242,İngiltere,Manchester,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0486,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Paris Milli Kütüphanesi,Nu.139/Schefer Koleksiyonu Nu. 1117,,48.83393323,2.375792984,Fransa,Paris,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0487,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Beşir Ağa,Nu. 740,Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0488,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Aşir Efendi,Nu. 2458,Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0489,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Nuruosmaniye Kütüphanesi,Nu. 3229/30,Nuruosmaniye,41.01025877,28.97066319,Türkiye,İstanbul,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0490,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Yeni Cami,Nu. 836,Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0491,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Abdullah Efendi,Nu. 255,Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0492,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Hamidiyye Kütüphanesi,Nu.922,Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0493,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Es’ad Efendi,Nu. 2409/10,Süleymaniye,41.01615221,28.96396037,Türkiye,İstanbul,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0494,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,1566,record,Aleyna Karakaya,Mir’âtü’l-edvâr ve mirkâtü’l-ahbâr,105-106,,Musliheddîn ( El-Lârî),1572,,974,,1566,,Farsça,,,,Çeviri,,Sa‘deddin,,Osmanlı Türkçesi,,,,Kahire TK,192,,30.06721968,31.22713699,Mısır,Kahire,,,Dünya tarihine dair Türkçe tercüme,,,,
babinger_0495,Zeyl-i Heşt Bihişt,,record,Aleyna Karakaya,Zeyl-i Heşt Bihişt,107-108,,Ebulfazl Mehmed,1574,,,,,,Farsça,,,,Zeyl,Heşt Bihişt,İdrîs-i Bitlisî,974 (1576),Farsça,,,,Gotha Kütüphanesi,pers Iıs. Nu.32,,50.94788471,10.70937885,Almanya,Gotha,,918-926 (1512-1520),I. Selim'in hükümeti zamanındaki olaylar,Heşt Bihişt'in 4.cildi ve zeyli,,,
babinger_0496,Zeyl-i Heşt Bihişt,,record,Aleyna Karakaya,Zeyl-i Heşt Bihişt,107-108,,Ebulfazl Mehmed,1574,,,,,,Farsça,,,,Zeyl,Heşt Bihişt,İdrîs-i Bitlisî,974 (1576),Farsça,,,,Viyana Milli Kütüphanesi,Nu.994,,48.20638245,16.36692749,Avusturya,Viyana,,918-926 (1512-1520),I. Selim'in hükümeti zamanındaki olaylar,Heşt Bihişt'in 4.cildi ve zeyli,,,
babinger_0497,Nizâmü’t-tevârîh,,record,Aleyna Karakaya,Nizâmü’t-tevârîh,107-108,,Ebulfazl Mehmed,1574,,,,,,Farsça,,,,Çeviri,,Kadı el-Beyzâvî,975 (1567),,,,,Berlin Devlet Kütüphanesi,or.8 2035 (müsvedde),,52.507756,13.37086122,Almanya,Berlin,,Tercüme: yaratılıştan- Kadı-el Beyzâvî'nin yaşadığı döneme kadar; Osmanlı tarihi: I.Osman-I.Selim,Osmanlı tarihi ve Nizam el-tevârih tercümesi bir aradadır.,,,,
babinger_0498,Nizâmü’t-tevârîh,,record,Aleyna Karakaya,Nizâmü’t-tevârîh,107-108,,Ebulfazl Mehmed,1574,,,,,,Farsça,,,,Çeviri,,Kadı el-Beyzâvî,975 (1567),,,,,Konsular-Akademie,Nu.CCXLVIII VE CCXLIX,,48.20638245,16.36692749,Avusturya,Viyana,,Tercüme: yaratılıştan- Kadı-el Beyzâvî'nin yaşadığı döneme kadar; Osmanlı tarihi: I.Osman-I.Selim,Osmanlı tarihi ve Nizam el-tevârih tercümesi bir aradadır.,,,,
babinger_0499,Selimnâme,,record,Aleyna Karakaya,Selimnâme,108,,Ebulfazl Mehmed,1574,,,,,,,,"Mensur, Manzum",,,,,,,,,,Paris Milli Kütüphanesi,c.r. 235,,48.83393323,2.375792984,Fransa,Paris,Sultan II. Selim,,,"Babası İdrîs-i Bitlisî’nin vefatının ardından kaybolan Selimnâme’yi, Kanûnî Sultan Süleyman’ın emriyle yeniden derlemeye başlamış; ancak bu görevi II. Selim döneminde tamamlayabilmiştir.",,,
babinger_0500,Selimnâme,,record,Aleyna Karakaya,Selimnâme,108,,Ebulfazl Mehmed,1574,,,,,,,,"Mensur, Manzum",,,,,,,,,,British Museum,Nu. Add 24960,,51.51953386,-0.1269388205,İngiltere,Londra,Sultan II. Selim,,,"Babası İdrîs-i Bitlisî’nin vefatının ardından kaybolan Selimnâme’yi, Kanûnî Sultan Süleyman’ın emriyle yeniden derlemeye başlamış; ancak bu görevi II. Selim döneminde tamamlayabilmiştir.",,,
babinger_0501,Selimnâme,,record,Aleyna Karakaya,Selimnâme,108,,Ebulfazl Mehmed,1574,,,,,,,,"Mensur, Manzum",,,,,,,,,,Manchester Üniversite Kütüphanesi,"Lindsay kolleksiyonu, Nu. 47",,53.46457605,-2.235326242,İngiltere,Manchester,Sultan II. Selim,,,"Babası İdrîs-i Bitlisî’nin vefatının ardından kaybolan Selimnâme’yi, Kanûnî Sultan Süleyman’ın emriyle yeniden derlemeye başlamış; ancak bu görevi II. Selim döneminde tamamlayabilmiştir.",,,
