objectid,title,date,format,arastirmaci,eser_adi,sayfa_no,padisah_donemi,muellif_adi,muellif_olum_tarihi,mustensih_adi,telif_tarih_hicri,telif_basim,telif_tarih_miladi,istinsah_tarihi,eser_dili,eser_alt_turu,yazin_turu,yazi_turu,baglanti_turu,baglantili_eser_adi,baglantili_eser_yazari,baglantili_eser_tarihi,baglantili_eser_dili,cilt_sayisi,yazildigi_yer,istinsah_yeri,kutupane_koleksiyon,alt_koleksiyon_numara,su_anda_kutupane,latitude,longitude,ulke,sehir,takdim_hediye,tarihsel_kapsam,tematik_kapsam,notlar,arastirmaci_notu,,
babinger_0011,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Stokholm Kraliyet Kütüphanesi,Nu. 62,,59.33813584,18.072031,İsveç,Stokholm,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0012,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Uppsala Üniversitesi Kütüphanesi,Nu. 188,,59.85522266,17.63143714,İsveç,Uppsala,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0013,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Uppsala Üniversitesi Kütüphanesi,Nu. 189,,59.85522266,17.63143714,İsveç,Uppsala,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0014,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Petersburg Umumi Kütüphanesi,Nu. 565,,59.933403,30.33521028,Rusya,St. Petersburg,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0015,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Petersburg Umumi Kütüphanesi,Nu. 566,,59.933403,30.33521028,Rusya,St. Petersburg,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0016,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Roma Vatikan Kütüphanesi,Nu. 58,,41.90488399,12.45499782,İtalya,Roma,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0017,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,"Venedik, Codex Nani,",Nu. XL,,45.43354938,12.3394013,İtalya,Venedik,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0018,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,Cambridge Üniversite Kütüphanesi,Add. 3542,,52.20524688,0.1077233,İngiltere,Cambridge,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0019,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,British Museum,Harl. 3273,,51.51953386,-0.1269388205,İngiltere,Londra,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
babinger_0020,İskendernâme,1410,record,Ahmed Said Sözen,İskendernâme,12_13,I. Bayezid,Ahmedî,1413,,813,1390-1410,1410,,,,Manzum,,,,,,,,,,British Museum,Add. 7980,,51.51953386,-0.1269388205,İngiltere,Londra,,,"8250 beyitten oluşur. Büyük İskender menkıbesinden hareketle felsefe, ilahiyat, tıp ve tarihten söz eder.",Ertuğrul Gazi’den Yıldırım Bâyezid devri ortalarına kadar gelen kısım Dâstân-ı Tevârîh-i Mülûk-ı Âl-i Osmân şeklindedir,,,
